Date,Confirmed
30/01/20,1
31/01/20,1
1/2/2020,2
2/2/2020,3
3/2/2020,3
4/2/2020,3
5/2/2020,3
6/2/2020,3
7/2/2020,3
8/2/2020,3
9/2/2020,3
10/2/2020,3
11/2/2020,3
12/2/2020,3
13/02/20,3
14/02/20,3
15/02/20,3
16/02/20,3
17/02/20,3
18/02/20,3
19/02/20,3
20/02/20,3
21/02/20,3
22/02/20,3
23/02/20,3
24/02/20,3
25/02/20,3
26/02/20,3
27/02/20,3
28/02/20,3
29/02/20,3
1/3/2020,3
2/3/2020,5
3/3/2020,6
4/3/2020,28
5/3/2020,30
6/3/2020,59
7/3/2020,34
8/3/2020,39
9/3/2020,46
10/3/2020,58
11/3/2020,60
12/3/2020,74
13/03/20,81
14/03/20,84
15/03/20,110
16/03/20,114
17/03/20,137
18/03/20,151
19/03/20,173
20/03/20,223
21/03/20,283
22/03/20,360
23/03/20,433
24/03/20,519
25/03/20,606
26/03/20,694
27/03/20,724
28/03/20,904
29/03/20,1024
30/03/20,1251
31/03/20,1397
1/4/2020,1834
2/4/2020,2069
3/4/2020,2547
4/4/2020,3072
5/4/2020,3577
6/4/2020,4281
7/4/2020,4789
8/4/2020,5274
9/4/2020,5865
10/4/2020,6761
11/4/2020,7529
12/4/2020,8447
13/04/20,9352
14/04/20,10815
15/04/20,11933
16/04/20,12759
17/04/20,13835
18/04/20,14792
19/04/20,16116
20/04/20,17656
21/04/20,18969
22/04/20,20471
23/04/20,21700
24/04/20,23452
25/04/20,24893
26/04/20,26605
27/04/20,28160
28/04/20,29834
29/04/20,31709
30/04/20,33330
1/5/2020,34972
2/5/2020,37157
3/5/2020,40124
4/5/2020,42836
5/5/2020,46711
6/5/2020,49391
7/5/2020,52952
8/5/2020,56342
9/5/2020,59662
10/5/2020,62939
11/5/2020,67152
12/5/2020,70756
13/05/20,74281
14/05/20,78003
15/05/20,81970
16/05/20,85710
17/05/20,90637
18/05/20,95759
19/05/20,100325
20/05/20,219109
21/05/20,118447
22/05/20,125101
23/05/20,131868
24/05/20,138845
25/05/20,145380
26/05/20,151767
27/05/20,158333
28/05/20,165799
29/05/20,173763
30/05/20,182143
31/05/20,190535
1/6/2020,198706
